"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"profess.v.07.pretend.1866.-1",pretend,profess.v.07,1866,NA,NA,NA,NA
"prevailing.s.01.prevailing.1866.-1",prevailing,prevailing.s.01,1866,NA,NA,NA,NA
"plunder.v.03.ransack.1866.-1",ransack,plunder.v.03,1866,NA,NA,NA,NA
"understand.v.03.read.1866.-1",read,understand.v.03,1866,0,0,0,0
"compensate.v.06.remunerate.1866.-1",remunerate,compensate.v.06,1866,NA,NA,NA,NA
"stay.v.01.rest.1866.-1",rest,stay.v.01,1866,0,1,0,1
"render.v.04.return.1866.-1",return,render.v.04,1866,0,0,0,0
"spill.v.03.shed.1866.-1",shed,spill.v.03,1866,NA,NA,NA,NA
"spill.v.04.shed.1866.-1",shed,spill.v.04,1866,NA,NA,NA,NA
"spell.v.03.spell.1866.-1",spell,spell.v.03,1866,NA,NA,NA,NA
"gyrate.v.01.spiral.1866.-1",spiral,gyrate.v.01,1866,NA,NA,NA,NA
"silent.s.03.tacit.1866.-1",tacit,silent.s.03,1866,NA,NA,NA,NA
"chatty.s.01.talkative.1866.-1",talkative,chatty.s.01,1866,NA,NA,NA,NA
"ill-timed.s.01.untimely.1866.-1",untimely,ill-timed.s.01,1866,NA,NA,NA,NA
"gawky.s.01.unwieldy.1866.-1",unwieldy,gawky.s.01,1866,NA,NA,NA,NA
"relieve.v.01.assuage.1868.-1",assuage,relieve.v.01,1868,NA,NA,NA,NA
"billow.v.03.billow.1868.-1",billow,billow.v.03,1868,NA,NA,NA,NA
"bootless.s.01.bootless.1868.-1",bootless,bootless.s.01,1868,NA,NA,NA,NA
"authoritative.s.02.classical.1868.-1",classical,authoritative.s.02,1868,1,1,1,NA
"classical.a.01.classical.1868.-1",classical,classical.a.01,1868,NA,NA,NA,NA
"classical.s.05.classical.1868.-1",classical,classical.s.05,1868,1,1,1,NA
"collateral.a.01.collateral.1868.-1",collateral,collateral.a.01,1868,NA,NA,NA,NA
"agitate.v.02.commove.1868.-1",commove,agitate.v.02,1868,NA,NA,NA,NA
"agitate.v.06.commove.1868.-1",commove,agitate.v.06,1868,NA,NA,NA,NA
"concentric.a.01.concentrical.1868.-1",concentrical,concentric.a.01,1868,NA,NA,NA,NA
"form.v.02.constitute.1868.-1",constitute,form.v.02,1868,1,1,1,1
"crack.v.01.crack.1868.-1",crack,crack.v.01,1868,0,0,0,0
"deduce.v.01.deduce.1868.-1",deduce,deduce.v.01,1868,NA,NA,NA,NA
"deluge.v.01.deluge.1868.-1",deluge,deluge.v.01,1868,NA,NA,NA,NA
"hold_forth.v.01.dissertate.1868.-1",dissertate,hold_forth.v.01,1868,NA,NA,NA,NA
"frighten.v.01.fright.1868.-1",fright,frighten.v.01,1868,0,0,0,0
"incite.v.02.instigate.1868.-1",instigate,incite.v.02,1868,NA,NA,NA,NA
"legalize.v.01.legitimatize.1868.-1",legitimatize,legalize.v.01,1868,NA,NA,NA,NA
"lightless.s.02.lightless.1868.-1",lightless,lightless.s.02,1868,NA,NA,NA,NA
"lonely.s.04.lonely.1868.-1",lonely,lonely.s.04,1868,1,1,1,NA
"lacerate.s.02.mangled.1868.-1",mangled,lacerate.s.02,1868,NA,NA,NA,NA
"multilateral.a.01.multilateral.1868.-1",multilateral,multilateral.a.01,1868,NA,NA,NA,NA
"mysterious.s.02.mystical.1868.-1",mystical,mysterious.s.02,1868,NA,NA,NA,NA
"primitively.r.01.primitively.1868.-1",primitively,primitively.r.01,1868,NA,NA,NA,NA
"continue.v.01.proceed.1868.-1",proceed,continue.v.01,1868,1,1,1,1
"continue.v.02.proceed.1868.-1",proceed,continue.v.02,1868,1,1,1,NA
"proceed.v.02.proceed.1868.-1",proceed,proceed.v.02,1868,1,1,1,NA
"productively.r.01.productively.1868.-1",productively,productively.r.01,1868,NA,NA,NA,NA
"force.v.06.ram.1868.-1",ram,force.v.06,1868,0,1,0,1
"harmonize.v.05.reconcile.1868.-1",reconcile,harmonize.v.05,1868,NA,NA,NA,NA
"careless.s.03.regardless.1868.-1",regardless,careless.s.03,1868,NA,NA,NA,NA
"slither.v.01.slither.1868.-1",slither,slither.v.01,1868,NA,NA,NA,NA
"audacious.s.01.unfearing.1868.-1",unfearing,audacious.s.01,1868,NA,NA,NA,NA
"impenitently.r.01.unrepentantly.1868.-1",unrepentantly,impenitently.r.01,1868,NA,NA,NA,NA
"immunize.v.02.vaccinate.1868.-1",vaccinate,immunize.v.02,1868,NA,NA,NA,NA
"acknowledge.v.04.acknowledge.1870.-1",acknowledge,acknowledge.v.04,1870,0,1,0,1
"acknowledge.v.06.acknowledge.1870.-1",acknowledge,acknowledge.v.06,1870,0,1,1,1
"affirm.v.02.affirm.1870.-1",affirm,affirm.v.02,1870,0,0,0,0
"dazzle.v.01.bedazzle.1870.-1",bedazzle,dazzle.v.01,1870,NA,NA,NA,NA
"browbeat.v.02.browbeat.1870.-1",browbeat,browbeat.v.02,1870,NA,NA,NA,NA
"strong-arm.v.02.browbeat.1870.-1",browbeat,strong-arm.v.02,1870,NA,NA,NA,NA
"clean.s.03.clear.1870.-1",clear,clean.s.03,1870,1,1,1,1
"dateless.s.01.dateless.1870.-1",dateless,dateless.s.01,1870,NA,NA,NA,NA
"dissentient.s.02.dissentient.1870.-1",dissentient,dissentient.s.02,1870,NA,NA,NA,NA
"emancipated.s.01.emancipated.1870.-1",emancipated,emancipated.s.01,1870,NA,NA,NA,NA
"clear.v.10.enlighten.1870.-1",enlighten,clear.v.10,1870,NA,NA,NA,NA
"awful.s.02.fearsome.1870.-1",fearsome,awful.s.02,1870,NA,NA,NA,NA
"glooming.s.01.gloomful.1870.-1",gloomful,glooming.s.01,1870,NA,NA,NA,NA
"heroic.s.03.heroical.1870.-1",heroical,heroic.s.03,1870,NA,NA,NA,NA
"dwell.v.04.inhabit.1870.-1",inhabit,dwell.v.04,1870,NA,NA,NA,NA
"populate.v.01.inhabit.1870.-1",inhabit,populate.v.01,1870,NA,NA,NA,NA
"imprison.v.01.lag.1870.-1",lag,imprison.v.01,1870,NA,NA,NA,NA
"last.r.02.last.1870.-1",last,last.r.02,1870,0,0,0,1
"establish.v.01.launch.1870.-1",launch,establish.v.01,1870,0,0,0,0
"caustic.s.02.mordant.1870.-1",mordant,caustic.s.02,1870,NA,NA,NA,NA
"normally.r.01.normally.1870.-1",normally,normally.r.01,1870,NA,NA,NA,NA
"actual.s.03.real.1870.-1",real,actual.s.03,1870,0,1,1,1
"rape.v.02.spoil.1870.-1",spoil,rape.v.02,1870,1,1,1,NA
"startle.v.02.start.1870.-1",start,startle.v.02,1870,1,1,1,NA
"terrify.v.01.terrorize.1870.-1",terrorize,terrify.v.01,1870,NA,NA,NA,NA
"uncultivable.s.01.uncultivatable.1870.-1",uncultivatable,uncultivable.s.01,1870,NA,NA,NA,NA
"bicycle.v.01.wheel.1870.-1",wheel,bicycle.v.01,1870,0,1,0,1
"acerb.s.02.acerb.1872.-1",acerb,acerb.s.02,1872,NA,NA,NA,NA
"bipedal.a.01.bipedal.1872.-1",bipedal,bipedal.a.01,1872,NA,NA,NA,NA
"burn.v.02.burn.1872.-1",burn,burn.v.02,1872,NA,NA,NA,NA
"balance.v.01.equilibrate.1872.-1",equilibrate,balance.v.01,1872,NA,NA,NA,NA
"adoring.s.02.fond.1872.-1",fond,adoring.s.02,1872,NA,NA,NA,NA
"grating.s.01.rasping.1872.-1",rasping,grating.s.01,1872,NA,NA,NA,NA
"automatic.s.03.reflex.1872.-1",reflex,automatic.s.03,1872,NA,NA,NA,NA
"resonant.s.01.resonating.1872.-1",resonating,resonant.s.01,1872,NA,NA,NA,NA
"rhymed.a.01.riming.1872.-1",riming,rhymed.a.01,1872,NA,NA,NA,NA
"shuffle.v.03.ruffle.1872.-1",ruffle,shuffle.v.03,1872,NA,NA,NA,NA
"salvage.v.01.salve.1872.-1",salve,salvage.v.01,1872,NA,NA,NA,NA
"splash.v.05.slush.1872.-1",slush,splash.v.05,1872,NA,NA,NA,NA
"stimulant.s.01.stimulant.1872.-1",stimulant,stimulant.s.01,1872,NA,NA,NA,NA
"smitten.s.01.stricken.1872.-1",stricken,smitten.s.01,1872,1,1,1,1
"lukewarmly.r.01.tepidly.1872.-1",tepidly,lukewarmly.r.01,1872,NA,NA,NA,NA
"match.v.03.twin.1872.-1",twin,match.v.03,1872,0,1,0,1
"duplicate.s.02.twinned.1872.-1",twinned,duplicate.s.02,1872,NA,NA,NA,NA
"volunteer.v.02.volunteer.1872.-1",volunteer,volunteer.v.02,1872,NA,NA,NA,NA
"crouch.v.01.bow.1874.-1",bow,crouch.v.01,1874,1,1,1,1
"hurt.v.05.bruise.1874.-1",bruise,hurt.v.05,1874,0,1,1,1
"cover.v.05.cover.1874.-1",cover,cover.v.05,1874,0,1,0,1
"brusque.s.01.curt.1874.-1",curt,brusque.s.01,1874,NA,NA,NA,NA
"corrupt.v.01.demoralize.1874.-1",demoralize,corrupt.v.01,1874,NA,NA,NA,NA
"capture.v.02.fascinate.1874.-1",fascinate,capture.v.02,1874,NA,NA,NA,NA
"light.v.01.illume.1874.-1",illume,light.v.01,1874,NA,NA,NA,NA
"afloat.s.03.inundated.1874.-1",inundated,afloat.s.03,1874,NA,NA,NA,NA
"jerk.v.02.jerk.1874.-1",jerk,jerk.v.02,1874,NA,NA,NA,NA
"twitch.v.01.jerk.1874.-1",jerk,twitch.v.01,1874,NA,NA,NA,NA
"advance.v.01.progress.1874.-1",progress,advance.v.01,1874,0,0,0,NA
"progress.v.01.progress.1874.-1",progress,progress.v.01,1874,0,0,0,NA
"read.v.08.register.1874.-1",register,read.v.08,1874,0,1,1,1
"record.v.04.register.1874.-1",register,record.v.04,1874,NA,NA,NA,NA
"shape.v.02.shape.1874.-1",shape,shape.v.02,1874,1,1,1,1
"shape.v.03.shape.1874.-1",shape,shape.v.03,1874,NA,NA,NA,NA
"approximately.r.01.some.1874.-1",some,approximately.r.01,1874,1,1,1,1
"synoptic.s.02.synoptical.1874.-1",synoptical,synoptic.s.02,1874,NA,NA,NA,NA
"faithless.s.01.treasonous.1874.-1",treasonous,faithless.s.01,1874,NA,NA,NA,NA
"tropical.s.01.tropic.1874.-1",tropic,tropical.s.01,1874,NA,NA,NA,NA
"tropical.s.04.tropic.1874.-1",tropic,tropical.s.04,1874,NA,NA,NA,NA
"indignant.s.01.umbrageous.1874.-1",umbrageous,indignant.s.01,1874,NA,NA,NA,NA
"unproved.a.01.unproven.1874.-1",unproven,unproved.a.01,1874,NA,NA,NA,NA
"arrant.s.01.utter.1874.-1",utter,arrant.s.01,1874,0,0,0,0
"bedewed.s.01.bedewed.1876.-1",bedewed,bedewed.s.01,1876,NA,NA,NA,NA
"breathed.s.01.breathed.1876.-1",breathed,breathed.s.01,1876,NA,NA,NA,NA
"clear.s.09.clear-cut.1876.-1",clear-cut,clear.s.09,1876,NA,NA,NA,NA
"advisory.s.01.consultatory.1876.-1",consultatory,advisory.s.01,1876,NA,NA,NA,NA
"unrefined.a.01.crude.1876.-1",crude,unrefined.a.01,1876,NA,NA,NA,NA
"debasing.s.01.debasing.1876.-1",debasing,debasing.s.01,1876,NA,NA,NA,NA
"divide.v.01.dissever.1876.-1",dissever,divide.v.01,1876,NA,NA,NA,NA
"light.s.11.lightsome.1876.-1",lightsome,light.s.11,1876,NA,NA,NA,NA
"calculate.v.01.reckon.1876.-1",reckon,calculate.v.01,1876,0,0,0,0
"calculate.v.02.reckon.1876.-1",reckon,calculate.v.02,1876,0,0,0,0
"count.v.08.reckon.1876.-1",reckon,count.v.08,1876,0,1,1,1
"exuberate.v.01.rejoice.1876.-1",rejoice,exuberate.v.01,1876,0,0,0,NA
"disgusting.s.01.repellant.1876.-1",repellant,disgusting.s.01,1876,NA,NA,NA,NA
"cosmopolitan.s.03.universal.1876.-1",universal,cosmopolitan.s.03,1876,1,1,1,NA
"abstinent.s.01.abstentious.1878.-1",abstentious,abstinent.s.01,1878,NA,NA,NA,NA
"antic.s.01.antic.1878.-1",antic,antic.s.01,1878,NA,NA,NA,NA
"diabolically.r.01.devilishly.1878.-1",devilishly,diabolically.r.01,1878,NA,NA,NA,NA
"eddy.v.01.eddy.1878.-1",eddy,eddy.v.01,1878,NA,NA,NA,NA
"educe.v.01.educe.1878.-1",educe,educe.v.01,1878,NA,NA,NA,NA
"concenter.v.01.focalize.1878.-1",focalize,concenter.v.01,1878,NA,NA,NA,NA
"focus.v.04.focalize.1878.-1",focalize,focus.v.04,1878,NA,NA,NA,NA
"focus.v.05.focalize.1878.-1",focalize,focus.v.05,1878,NA,NA,NA,NA
"hit.v.02.hit.1878.-1",hit,hit.v.02,1878,0,0,0,NA
"hit.v.05.hit.1878.-1",hit,hit.v.05,1878,NA,NA,NA,NA
"hit.v.09.hit.1878.-1",hit,hit.v.09,1878,0,0,0,NA
"hit.v.12.hit.1878.-1",hit,hit.v.12,1878,NA,NA,NA,NA
"strike.v.04.hit.1878.-1",hit,strike.v.04,1878,NA,NA,NA,NA
"strike.v.10.hit.1878.-1",hit,strike.v.10,1878,NA,NA,NA,NA
"lacerate.s.02.lacerate.1878.-1",lacerate,lacerate.s.02,1878,NA,NA,NA,NA
"demonic.s.01.satanic.1878.-1",satanic,demonic.s.01,1878,NA,NA,NA,NA
"switch.v.03.shift.1878.-1",shift,switch.v.03,1878,0,0,0,0
"astute.s.01.shrewd.1878.-1",shrewd,astute.s.01,1878,1,1,1,1
"sidelong.r.03.sidelong.1878.-1",sidelong,sidelong.r.03,1878,0,0,0,NA
"unilateral.a.01.unilateral.1878.-1",unilateral,unilateral.a.01,1878,NA,NA,NA,NA
"asymmetrically.r.01.unsymmetrically.1878.-1",unsymmetrically,asymmetrically.r.01,1878,NA,NA,NA,NA
"arise.v.03.uprise.1878.-1",uprise,arise.v.03,1878,NA,NA,NA,NA
"get_up.v.02.uprise.1878.-1",uprise,get_up.v.02,1878,NA,NA,NA,NA
"originate.v.01.uprise.1878.-1",uprise,originate.v.01,1878,NA,NA,NA,NA
"resurrect.v.03.uprise.1878.-1",uprise,resurrect.v.03,1878,NA,NA,NA,NA
"rise.v.01.uprise.1878.-1",uprise,rise.v.01,1878,NA,NA,NA,NA
"rise.v.16.uprise.1878.-1",uprise,rise.v.16,1878,NA,NA,NA,NA
"alternate.s.03.alternate.1880.-1",alternate,alternate.s.03,1880,NA,NA,NA,NA
"appreciated.s.01.apprehended.1880.-1",apprehended,appreciated.s.01,1880,1,1,1,1
"assimilating.s.01.assimilatory.1880.-1",assimilatory,assimilating.s.01,1880,NA,NA,NA,NA
"buzz.v.01.bombinate.1880.-1",bombinate,buzz.v.01,1880,NA,NA,NA,NA
"peep.v.03.chirp.1880.-1",chirp,peep.v.03,1880,NA,NA,NA,NA
"clenched.s.01.clinched.1880.-1",clinched,clenched.s.01,1880,NA,NA,NA,NA
"associate.v.01.connect.1880.-1",connect,associate.v.01,1880,0,0,0,0
"push.v.06.crowd.1880.-1",crowd,push.v.06,1880,NA,NA,NA,NA
"once.r.03.erstwhile.1880.-1",erstwhile,once.r.03,1880,NA,NA,NA,NA
"crossbreed.v.01.hybridize.1880.-1",hybridize,crossbreed.v.01,1880,NA,NA,NA,NA
"chant.v.01.intone.1880.-1",intone,chant.v.01,1880,NA,NA,NA,NA
"tone.v.01.intone.1880.-1",intone,tone.v.01,1880,NA,NA,NA,NA
"monochromatic.s.03.monochromous.1880.-1",monochromous,monochromatic.s.03,1880,NA,NA,NA,NA
"echoic.a.01.onomatopoeical.1880.-1",onomatopoeical,echoic.a.01,1880,NA,NA,NA,NA
"put.v.01.position.1880.-1",position,put.v.01,1880,0,1,1,0
"boisterous.s.01.robustious.1880.-1",robustious,boisterous.s.01,1880,NA,NA,NA,NA
"announce.v.04.annunciate.1882.-1",annunciate,announce.v.04,1882,NA,NA,NA,NA
"catch.v.07.arrest.1882.-1",arrest,catch.v.07,1882,0,0,0,1
"attenuate.s.01.attenuated.1882.-1",attenuated,attenuate.s.01,1882,NA,NA,NA,NA
"capture.v.02.becharm.1882.-1",becharm,capture.v.02,1882,NA,NA,NA,NA
"better.v.02.better.1882.-1",better,better.v.02,1882,0,0,0,NA
"better.v.03.better.1882.-1",better,better.v.03,1882,0,0,0,NA
"bewitchingly.r.01.bewitchingly.1882.-1",bewitchingly,bewitchingly.r.01,1882,NA,NA,NA,NA
"bluffly.r.01.bluffly.1882.-1",bluffly,bluffly.r.01,1882,NA,NA,NA,NA
"chat_up.v.01.dally.1882.-1",dally,chat_up.v.01,1882,NA,NA,NA,NA
"dally.v.01.dally.1882.-1",dally,dally.v.01,1882,NA,NA,NA,NA
"diplomatic.a.02.diplomatical.1882.-1",diplomatical,diplomatic.a.02,1882,NA,NA,NA,NA
"undress.v.01.discase.1882.-1",discase,undress.v.01,1882,NA,NA,NA,NA
"eponymous.a.01.eponymic.1882.-1",eponymic,eponymous.a.01,1882,NA,NA,NA,NA
"balance.v.01.equilibrate.1882.-1",equilibrate,balance.v.01,1882,NA,NA,NA,NA
"deluge.v.01.flood.1882.-1",flood,deluge.v.01,1882,1,1,1,NA
"blend.v.03.immix.1882.-1",immix,blend.v.03,1882,NA,NA,NA,NA
"prompt.v.02.inspire.1882.-1",inspire,prompt.v.02,1882,0,0,0,NA
"legalize.v.01.legitimatize.1882.-1",legitimatize,legalize.v.01,1882,NA,NA,NA,NA
"maintain.v.08.maintain.1882.-1",maintain,maintain.v.08,1882,NA,NA,NA,NA
"misbehave.v.01.misconduct.1882.-1",misconduct,misbehave.v.01,1882,NA,NA,NA,NA
"satiate.v.01.replete.1882.-1",replete,satiate.v.01,1882,NA,NA,NA,NA
"crude.s.04.rude.1882.-1",rude,crude.s.04,1882,1,1,1,0
"hunt.v.01.run.1882.-1",run,hunt.v.01,1882,1,1,1,NA
"run.v.03.run.1882.-1",run,run.v.03,1882,0,1,1,1
"run.v.23.run.1882.-1",run,run.v.23,1882,NA,NA,NA,NA
"place.v.11.set.1882.-1",set,place.v.11,1882,1,1,1,1
"put.v.01.set.1882.-1",set,put.v.01,1882,0,1,1,1
"set.v.09.set.1882.-1",set,set.v.09,1882,1,1,1,NA
"pawn.v.01.soak.1882.-1",soak,pawn.v.01,1882,NA,NA,NA,NA
"insubstantial.a.01.unreal.1882.-1",unreal,insubstantial.a.01,1882,NA,NA,NA,NA
"ball-shaped.s.01.ball-shaped.1884.-1",ball-shaped,ball-shaped.s.01,1884,NA,NA,NA,NA
"construct.v.01.build.1884.-1",build,construct.v.01,1884,1,1,1,NA
"competently.r.01.capably.1884.-1",capably,competently.r.01,1884,NA,NA,NA,NA
"cinch.v.01.cinch.1884.-1",cinch,cinch.v.01,1884,NA,NA,NA,NA
"coalescent.s.01.coalescing.1884.-1",coalescing,coalescent.s.01,1884,NA,NA,NA,NA
"trustfully.r.01.confidingly.1884.-1",confidingly,trustfully.r.01,1884,NA,NA,NA,NA
"distinguish.v.01.distinguish.1884.-1",distinguish,distinguish.v.01,1884,0,0,0,0
"apparitional.s.01.ghostlike.1884.-1",ghostlike,apparitional.s.01,1884,NA,NA,NA,NA
"find.v.01.happen.1884.-1",happen,find.v.01,1884,0,1,1,1
"happen.v.02.happen.1884.-1",happen,happen.v.02,1884,1,1,1,NA
"steer.v.01.head.1884.-1",head,steer.v.01,1884,0,1,1,1
"crossbreed.v.01.hybridize.1884.-1",hybridize,crossbreed.v.01,1884,NA,NA,NA,NA
"jingling.s.01.jingly.1884.-1",jingly,jingling.s.01,1884,NA,NA,NA,NA
"rejoice.v.01.joy.1884.-1",joy,rejoice.v.01,1884,NA,NA,NA,NA
"lubricious.s.02.lubricious.1884.-1",lubricious,lubricious.s.02,1884,NA,NA,NA,NA
"holier-than-thou.s.01.pietistic.1884.-1",pietistic,holier-than-thou.s.01,1884,NA,NA,NA,NA
"rate.v.01.rate.1884.-1",rate,rate.v.01,1884,0,0,0,0
"aforesaid.s.01.said.1884.-1",said,aforesaid.s.01,1884,0,0,0,NA
"silver.s.02.silvern.1884.-1",silvern,silver.s.02,1884,NA,NA,NA,NA
"silvern.s.01.silvern.1884.-1",silvern,silvern.s.01,1884,NA,NA,NA,NA
"stretchable.s.01.stretchy.1884.-1",stretchy,stretchable.s.01,1884,NA,NA,NA,NA
"chatty.s.01.talky.1884.-1",talky,chatty.s.01,1884,NA,NA,NA,NA
"later.s.01.ulterior.1884.-1",ulterior,later.s.01,1884,NA,NA,NA,NA
"unserviceable.s.02.unusable.1884.-1",unusable,unserviceable.s.02,1884,NA,NA,NA,NA
"bicycle.v.01.wheel.1884.-1",wheel,bicycle.v.01,1884,0,1,0,1
"coseismic.s.01.coseismic.1886.-1",coseismic,coseismic.s.01,1886,NA,NA,NA,NA
"diametric.s.02.diametric.1886.-1",diametric,diametric.s.02,1886,NA,NA,NA,NA
"spot.v.04.fleck.1886.-1",fleck,spot.v.04,1886,NA,NA,NA,NA
"concenter.v.01.focalize.1886.-1",focalize,concenter.v.01,1886,NA,NA,NA,NA
"focus.v.04.focalize.1886.-1",focalize,focus.v.04,1886,NA,NA,NA,NA
"focus.v.05.focalize.1886.-1",focalize,focus.v.05,1886,NA,NA,NA,NA
"glass.v.01.glass.1886.-1",glass,glass.v.01,1886,NA,NA,NA,NA
"glaze.v.02.glass.1886.-1",glass,glaze.v.02,1886,NA,NA,NA,NA
"interactional.s.01.interactional.1886.-1",interactional,interactional.s.01,1886,NA,NA,NA,NA
"flog.v.01.lather.1886.-1",lather,flog.v.01,1886,NA,NA,NA,NA
"lax.s.04.lax.1886.-1",lax,lax.s.04,1886,NA,NA,NA,NA
"tire.v.02.outwear.1886.-1",outwear,tire.v.02,1886,NA,NA,NA,NA
"read.v.08.read.1886.-1",read,read.v.08,1886,1,1,1,1
"conceited.s.01.self-conceited.1886.-1",self-conceited,conceited.s.01,1886,NA,NA,NA,NA
"lilting.s.01.swinging.1886.-1",swinging,lilting.s.01,1886,NA,NA,NA,NA
"unrhymed.a.01.unrimed.1886.-1",unrimed,unrhymed.a.01,1886,NA,NA,NA,NA
"wheedle.v.01.wheedle.1886.-1",wheedle,wheedle.v.01,1886,NA,NA,NA,NA
"dock.v.04.bob.1888.-1",bob,dock.v.04,1888,1,1,1,1
"camp.v.01.camp.1888.-1",camp,camp.v.01,1888,0,0,0,NA
"beguiled.s.01.captivated.1888.-1",captivated,beguiled.s.01,1888,NA,NA,NA,NA
"captivated.s.01.captivated.1888.-1",captivated,captivated.s.01,1888,NA,NA,NA,NA
"beguiled.s.01.charmed.1888.-1",charmed,beguiled.s.01,1888,1,1,1,NA
"captivated.s.01.charmed.1888.-1",charmed,captivated.s.01,1888,NA,NA,NA,NA
"chew_the_fat.v.01.chat.1888.-1",chat,chew_the_fat.v.01,1888,0,1,0,0
"consociate.v.01.consociate.1888.-1",consociate,consociate.v.01,1888,NA,NA,NA,NA
"rumple.v.03.crinkle.1888.-1",crinkle,rumple.v.03,1888,NA,NA,NA,NA
"wrinkle.v.02.crinkle.1888.-1",crinkle,wrinkle.v.02,1888,NA,NA,NA,NA
"deduce.v.01.deduce.1888.-1",deduce,deduce.v.01,1888,NA,NA,NA,NA
"definitive.s.03.definitive.1888.-1",definitive,definitive.s.03,1888,NA,NA,NA,NA
"disgusting.s.01.disgustful.1888.-1",disgustful,disgusting.s.01,1888,NA,NA,NA,NA
"hex.v.01.glamour.1888.-1",glamour,hex.v.01,1888,NA,NA,NA,NA
"intertwine.v.01.lace.1888.-1",lace,intertwine.v.01,1888,NA,NA,NA,NA
"sink.v.03.lapse.1888.-1",lapse,sink.v.03,1888,0,0,0,1
"rate.v.01.place.1888.-1",place,rate.v.01,1888,1,1,1,1
"murder.v.01.remove.1888.-1",remove,murder.v.01,1888,0,1,0,0
"vomit.v.01.retch.1888.-1",retch,vomit.v.01,1888,NA,NA,NA,NA
"retort.v.01.return.1888.-1",return,retort.v.01,1888,0,0,0,1
"frosty.s.02.rimed.1888.-1",rimed,frosty.s.02,1888,NA,NA,NA,NA
"exclaim.v.01.shout.1888.-1",shout,exclaim.v.01,1888,1,1,1,1
"shout.v.02.shout.1888.-1",shout,shout.v.02,1888,0,0,0,0
"slither.v.01.slither.1888.-1",slither,slither.v.01,1888,NA,NA,NA,NA
"splash.v.05.slush.1888.-1",slush,splash.v.05,1888,NA,NA,NA,NA
"bring.v.01.take.1888.-1",take,bring.v.01,1888,0,0,0,1
"fierce.s.02.tearing.1888.-1",tearing,fierce.s.02,1888,0,1,0,0
"firm.s.01.unbendable.1888.-1",unbendable,firm.s.01,1888,NA,NA,NA,NA
"think.v.03.cogitate.1890.-1",cogitate,think.v.03,1890,NA,NA,NA,NA
"decrepit.s.02.debile.1890.-1",debile,decrepit.s.02,1890,NA,NA,NA,NA
"graciously.r.01.graciously.1890.-1",graciously,graciously.r.01,1890,NA,NA,NA,NA
"match.v.03.mate.1890.-1",mate,match.v.03,1890,0,1,1,1
"pierced.s.01.perforated.1890.-1",perforated,pierced.s.01,1890,NA,NA,NA,NA
"remember.v.01.think.1890.-1",think,remember.v.01,1890,0,0,0,1
"chase.v.01.trail.1890.-1",trail,chase.v.01,1890,0,1,1,1
"tread.v.02.trample.1890.-1",trample,tread.v.02,1890,NA,NA,NA,NA
"ill-bred.s.01.underbred.1890.-1",underbred,ill-bred.s.01,1890,NA,NA,NA,NA
"ungulate.a.01.ungulated.1890.-1",ungulated,ungulate.a.01,1890,NA,NA,NA,NA
"untied.a.01.untied.1890.-1",untied,untied.a.01,1890,NA,NA,NA,NA
"inaccessible.s.02.untouchable.1890.-1",untouchable,inaccessible.s.02,1890,NA,NA,NA,NA
"flicker.v.01.flitter.1892.-1",flitter,flicker.v.01,1892,NA,NA,NA,NA
"howl.v.01.howl.1892.-1",howl,howl.v.01,1892,0,0,0,0
"travel.v.03.jaunt.1892.-1",jaunt,travel.v.03,1892,NA,NA,NA,NA
"pitchy.s.02.resiny.1892.-1",resiny,pitchy.s.02,1892,NA,NA,NA,NA
"hunt.v.01.run.1892.-1",run,hunt.v.01,1892,1,1,1,NA
"serve.v.14.service.1892.-1",service,serve.v.14,1892,NA,NA,NA,NA
"service.v.01.service.1892.-1",service,service.v.01,1892,NA,NA,NA,NA
"target.v.01.target.1892.-1",target,target.v.01,1892,0,1,0,0
"test.v.01.try.1892.-1",try,test.v.01,1892,0,0,0,0
"unaccented.s.02.unaccented.1892.-1",unaccented,unaccented.s.02,1892,NA,NA,NA,NA
"dateless.s.01.dateless.1894.-1",dateless,dateless.s.01,1894,NA,NA,NA,NA
"economical.s.03.frugal.1894.-1",frugal,economical.s.03,1894,NA,NA,NA,NA
"labor.v.02.labour.1894.-1",labour,labor.v.02,1894,0,0,0,0
"depart.v.03.part.1894.-1",part,depart.v.03,1894,0,0,0,0
"polished.s.02.polished.1894.-1",polished,polished.s.02,1894,1,1,1,NA
"cross.v.05.span.1894.-1",span,cross.v.05,1894,1,1,1,1
"swing.v.02.sway.1894.-1",sway,swing.v.02,1894,NA,NA,NA,NA
"writhe.v.01.writhe.1894.-1",writhe,writhe.v.01,1894,NA,NA,NA,NA
"graven.s.01.graven.1896.-1",graven,graven.s.01,1896,NA,NA,NA,NA
"imbecile.s.01.imbecile.1896.-1",imbecile,imbecile.s.01,1896,NA,NA,NA,NA
"tag.v.01.mark.1896.-1",mark,tag.v.01,1896,NA,NA,NA,NA
"measure.v.01.mensurate.1896.-1",mensurate,measure.v.01,1896,NA,NA,NA,NA
"lavish.s.02.plushy.1896.-1",plushy,lavish.s.02,1896,NA,NA,NA,NA
"back.r.02.rearwards.1896.-1",rearwards,back.r.02,1896,NA,NA,NA,NA
"erupt.v.08.recrudesce.1896.-1",recrudesce,erupt.v.08,1896,NA,NA,NA,NA
